| Track ID | Collection Name | Track Name | Filename | Filepath | Performers | Year | Region |
|----------|---------------|------------|----------|----------|------------|------|--------|
| col_0_track_23 | Sanavardo | Alilo | Alilo.mp3 | Sanavardo (Benia Mikadze)/Alilo.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_14 | Sanavardo | Avtandil Gadinadira | Avtandil_Gadinadira.mp3 | Sanavardo (Benia Mikadze)/Avtandil_Gadinadira.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_11 | Sanavardo | Agideli | Gideli.mp3 | Sanavardo (Benia Mikadze)/Gideli.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_12 | Sanavardo | Bebia | Bebia.mp3 | Sanavardo (Benia Mikadze)/Bebia.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_3 | Sanavardo | Chari Rama Khboze | Charirama_Khboze.mp3 | Sanavardo (Benia Mikadze)/Charirama_Khboze.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_2 | Sanavardo | Ekhla Vkhedav Sakvarelo | Ekhla_Vkhedav_Sakvarelo.mp3 | Sanavardo (Benia Mikadze)/Ekhla_Vkhedav_Sakvarelo.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_1 | Sanavardo | Gigini | Ghighini.mp3 | Sanavardo (Benia Mikadze)/Ghighini.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_10 | Sanavardo | Gvimgeria | Gvimgheria.mp3 | Sanavardo (Benia Mikadze)/Gvimgheria.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_8 | Sanavardo | Ialonze | Ialonze.mp3 | Sanavardo (Benia Mikadze)/Ialonze.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_20 | Sanavardo | Kakhuri Simgera | Kakhuri_Simghera.mp3 | Sanavardo (Benia Mikadze)/Kakhuri_Simghera.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_22 | Sanavardo | Kalma Damtskevla Lamazma | Kalma_Damtskevla.mp3 | Sanavardo (Benia Mikadze)/Kalma_Damtskevla.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_17 | Sanavardo | Krialeso | Krialeso.mp3 | Sanavardo (Benia Mikadze)/Krialeso.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_13 | Sanavardo | Makruli | Makruli.mp3 | Sanavardo (Benia Mikadze)/Makruli.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_9 | Sanavardo | Makruli | Makruli2.mp3 | Sanavardo (Benia Mikadze)/Makruli2.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_7 | Sanavardo | Maspindzelsa Mkhiarulsa | Maspindzelsa.mp3 | Sanavardo (Benia Mikadze)/Maspindzelsa.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
| col_0_track_6 | Sanavardo | Pirvelad Gmerti Vakhsenot | Pirvelad_Gmerti_Vakhsenot.mp3 | Sanavardo (Benia Mikadze)/Pirvelad_Gmerti_Vakhsenot.mp3 | Benia Mikadze Ensemble "Sanavardo" | unknown | Imereti |
